nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
kaixin,50960,2026-06-07 09:26:20 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2fzjdqq3tn2xyw2jurtennwks7uztpfeqa5qjyc,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2fzjdqq3tn2xyw2jurtennwks7uztpfeqa5qjyc
kaixin,50960,2026-06-07 09:26:20 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv26thzjwl09selm8mscgdx5gq504yeydqtqj3jr,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv26thzjwl09selm8mscgdx5gq504yeydqtqj3jr
kaixin,50960,2026-06-07 09:26:20 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvactr7302q7d2php7v7dfjuhzqtmhxkvg637g7r,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvactr7302q7d2php7v7dfjuhzqtmhxkvg637g7r
kaixin,50960,2026-06-07 09:26:20 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2zakxet2tryz6mwhadqwc8v8czmwrn5pgjq2h2u,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2zakxet2tryz6mwhadqwc8v8czmwrn5pgjq2h2u
Runckb01,50127,2026-06-07 06:36:56 (UTC+0),2179600,2179600,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd060x790h2ke0rkk7894qxmx3w2tenp9gln2u5f,1052000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd060x790h2ke0rkk7894qxmx3w2tenp9gln2u5f
Runckb01,50127,2026-06-07 06:36:56 (UTC+0),2179600,2179600,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2yyhhy7qkx5gdwkg79n3axhrhtmxlatugpz06eg,404400,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2yyhhy7qkx5gdwkg79n3axhrhtmxlatugpz06eg
Runckb01,50127,2026-06-07 06:36:56 (UTC+0),2179600,2179600,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf3hm4dexnlez2yynvfjxkm7k5s9ru520cr5wd0r,456700,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf3hm4dexnlez2yynvfjxkm7k5s9ru520cr5wd0r
Runckb01,50127,2026-06-07 06:36:56 (UTC+0),2179600,2179600,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtdxxyx5makemarrs09xkm7d688qskca3cn90s4v,266500,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtdxxyx5makemarrs09xkm7d688qskca3cn90s4v
Runckb01,50127,2026-06-07 06:36:56 (UTC+0),2179600,2179600,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqt84skys0d20pwy02vww2h6z39hghdchlgmw4dl8,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqt84skys0d20pwy02vww2h6z39hghdchlgmw4dl8
NightLantern,36074,2026-06-07 04:53:41 (UTC+0),2350000,2350000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt44hj52utz2v6cpmwxuxyvkd6szca35fg4gv4wz,2350000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt44hj52utz2v6cpmwxuxyvkd6szca35fg4gv4wz
ckbfansyixiu,35412,2026-06-07 02:25:38 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfd92edamsr7xr5qjplppu3r8ppxdm86csznwssk,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfd92edamsr7xr5qjplppu3r8ppxdm86csznwssk
ckbfansyixiu,35412,2026-06-07 02:25:38 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqglz4zvmddz4j0mlk2t78jzh85l2a2dnns2jfmz0,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqglz4zvmddz4j0mlk2t78jzh85l2a2dnns2jfmz0
ckbfansyixiu,35412,2026-06-07 02:25:38 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqflkpj0wp9svsnx38qskardf434nea8z5cyep8c8,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqflkpj0wp9svsnx38qskardf434nea8z5cyep8c8
ckbfansyixiu,35412,2026-06-07 02:25:38 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvtzjvwn2uej4ypn2ql92mn6te74cwarrs0rfqnc,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvtzjvwn2uej4ypn2ql92mn6te74cwarrs0rfqnc
ckbfansyixiu,35412,2026-06-07 02:25:38 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtkvqaq8vyadptalq247q929aq3e6h4kmsaspk6y,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtkvqaq8vyadptalq247q929aq3e6h4kmsaspk6y
ckbfansyixiu,35412,2026-06-07 02:25:38 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfkmmupfafphz0lduszlha4uhracnrvecshspe03,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfkmmupfafphz0lduszlha4uhracnrvecshspe03
