nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
Methemeticz,51038,2026-02-01 16:33:18 (UTC+0),1996228,1996228,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq00g7nu9mwjajgphr9wpzx5zv40dmugg9g7xck29,507966,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq00g7nu9mwjajgphr9wpzx5zv40dmugg9g7xck29
Methemeticz,51038,2026-02-01 16:33:18 (UTC+0),1996228,1996228,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd3svphxkm2pw4aurdz7s8egnejerwhheg42y0x7,1488262,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd3svphxkm2pw4aurdz7s8egnejerwhheg42y0x7
Methemeticz,51038,2026-02-01 16:33:18 (UTC+0),1996228,1996228,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2e62uqqu36nmg7j6jftrwfv046dxxsqeq5h3n4x,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2e62uqqu36nmg7j6jftrwfv046dxxsqeq5h3n4x
Methemeticz,51038,2026-02-01 16:33:18 (UTC+0),1996228,1996228,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdh4zhh9xljfn73kxpjzv03ytryglx4rnsyg3tyd,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdh4zhh9xljfn73kxpjzv03ytryglx4rnsyg3tyd
Methemeticz,51038,2026-02-01 16:33:18 (UTC+0),1996228,1996228,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw9x4fal8r5pa53r8043azmqwk7xccqgdg7tcx94,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw9x4fal8r5pa53r8043azmqwk7xccqgdg7tcx94
Methemeticz,51038,2026-02-01 16:33:18 (UTC+0),1996228,1996228,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgyp2t4wt3qtna7hggt7mfp39zzk7vqu9sltw8z8,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgyp2t4wt3qtna7hggt7mfp39zzk7vqu9sltw8z8
Methemeticz,51038,2026-02-01 16:33:18 (UTC+0),1996228,1996228,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv7l0cz3j7yn7c4sl0zywww2wcuzn39awq4w76fm,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv7l0cz3j7yn7c4sl0zywww2wcuzn39awq4w76fm
Methemeticz,51038,2026-02-01 16:33:18 (UTC+0),1996228,1996228,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2ahks8jflmkrvwyajcqv93uy9kdexan9g22dcd2,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2ahks8jflmkrvwyajcqv93uy9kdexan9g22dcd2
Methemeticz,51038,2026-02-01 16:33:18 (UTC+0),1996228,1996228,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqw33x25620zghttc2fnr5czmc8xtpwlwrqp2qze5,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqw33x25620zghttc2fnr5czmc8xtpwlwrqp2qze5
