nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
PSB,47706,2026-02-04 10:30:58 (UTC+0),1860000,1860000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfs6c4chhw5kwthmq0jzqyxwmr9fpr5a4qr8l2yd,1860000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfs6c4chhw5kwthmq0jzqyxwmr9fpr5a4qr8l2yd
PSB,47706,2026-02-04 10:30:58 (UTC+0),1860000,1860000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvsk2a6s3aq4kh6hves5a9vfswx88e2h0sg9uaga,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvsk2a6s3aq4kh6hves5a9vfswx88e2h0sg9uaga
Jnr6,51416,2026-02-03 19:02:38 (UTC+0),194139,194139,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqffue6z0es4f8lnlx52tpnwjwpuymf9qtqc9w05x,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqffue6z0es4f8lnlx52tpnwjwpuymf9qtqc9w05x
Jnr6,51416,2026-02-03 19:02:38 (UTC+0),194139,194139,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd6nkrgkejdm7u08f8ghmavyxydzttan6gr3vran,194139,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd6nkrgkejdm7u08f8ghmavyxydzttan6gr3vran
Alb,51079,2026-02-02 13:28:11 (UTC+0),3969333,4051032,True,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdywhhfnhv7xz24x9y79yu47u9ugwr8p2sccyn4q,4051032,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdywhhfnhv7xz24x9y79yu47u9ugwr8p2sccyn4q
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfd92edamsr7xr5qjplppu3r8ppxdm86csznwssk,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfd92edamsr7xr5qjplppu3r8ppxdm86csznwssk
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqglz4zvmddz4j0mlk2t78jzh85l2a2dnns2jfmz0,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqglz4zvmddz4j0mlk2t78jzh85l2a2dnns2jfmz0
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqflkpj0wp9svsnx38qskardf434nea8z5cyep8c8,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqflkpj0wp9svsnx38qskardf434nea8z5cyep8c8
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvtzjvwn2uej4ypn2ql92mn6te74cwarrs0rfqnc,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvtzjvwn2uej4ypn2ql92mn6te74cwarrs0rfqnc
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtkvqaq8vyadptalq247q929aq3e6h4kmsaspk6y,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtkvqaq8vyadptalq247q929aq3e6h4kmsaspk6y
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfkmmupfafphz0lduszlha4uhracnrvecshspe03,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfkmmupfafphz0lduszlha4uhracnrvecshspe03
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0y226497e09cmry7wxgxakqj5xzhjmh8ggpjdvz,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0y226497e09cmry7wxgxakqj5xzhjmh8ggpjdvz
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtxzxyjju7vtdpklppn8wgtl45d4sjy5rsm54xur,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtxzxyjju7vtdpklppn8wgtl45d4sjy5rsm54xur
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtl9t8x22z8q5gex08h77x64rk5ufvdryg6fr6s3,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtl9t8x22z8q5gex08h77x64rk5ufvdryg6fr6s3
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04kxv8w4sa09ryn5r8kwppqnzs8fuegrqt7dapy,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04kxv8w4sa09ryn5r8kwppqnzs8fuegrqt7dapy
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv7hhqh9rxljz7nj8yd4ewldkadklvepwgsnv9zm,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv7hhqh9rxljz7nj8yd4ewldkadklvepwgsnv9zm
ckbfansyixiu,35412,2026-02-02 12:11:28 (UTC+0),4500000,4500000,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqwhjj9vmq7k5p8tmud8gqtz9695zwyy0rs9jjc7z,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqwhjj9vmq7k5p8tmud8gqtz9695zwyy0rs9jjc7z
xiaopingguo,37655,2026-02-02 06:48:20 (UTC+0),30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf3098pfuz7m2mrkwqyfzmt7px4td8z2rs73ka5q,120,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf3098pfuz7m2mrkwqyfzmt7px4td8z2rs73ka5q
xiaopingguo,37655,2026-02-02 06:48:20 (UTC+0),30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtnr70zt0qhx6klg7hn9ygcqnpam9250jgllqzur,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtnr70zt0qhx6klg7hn9ygcqnpam9250jgllqzur
xiaopingguo,37655,2026-02-02 06:48:20 (UTC+0),30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02znl795z64vfshjy68cvgczasvrh8tnsfyfljn,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02znl795z64vfshjy68cvgczasvrh8tnsfyfljn
xiaopingguo,37655,2026-02-02 06:48:20 (UTC+0),30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfqcw4guc22j8pfqys2zfpc2fsax0c9fdcjpypt9,3000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfqcw4guc22j8pfqys2zfpc2fsax0c9fdcjpypt9
xiaopingguo,37655,2026-02-02 06:48:20 (UTC+0),30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdmg5rxd9kq87zh7jcdrs4m29ktkvj2hxs5d2wuq,27000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdmg5rxd9kq87zh7jcdrs4m29ktkvj2hxs5d2wuq
phill,34020,2026-02-02 00:03:34 (UTC+0),1557056,1557056,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0cznt3gq3v8tsrgdrefg6u2umn0zkuuqq99zpad,555555,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0cznt3gq3v8tsrgdrefg6u2umn0zkuuqq99zpad
phill,34020,2026-02-02 00:03:34 (UTC+0),1557056,1557056,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgwspjefmd6pu6qsg3s5rsspuph2tjk6qspdt7jv,1001501,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgwspjefmd6pu6qsg3s5rsspuph2tjk6qspdt7jv
phill,34020,2026-02-02 00:03:34 (UTC+0),1557056,1557056,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq0xkmf3afm86zlxnk9zpc64efxrewmrxjsh46hmp,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq0xkmf3afm86zlxnk9zpc64efxrewmrxjsh46hmp
xcd,47729,2026-02-01 23:25:30 (UTC+0),19431879,19431879,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfa2a8828qdqpa6uv7kgzka97ug6znl0kqqffrmg,138822,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfa2a8828qdqpa6uv7kgzka97ug6znl0kqqffrmg
xcd,47729,2026-02-01 23:25:30 (UTC+0),19431879,19431879,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf24rmfselfht37nqpkk843rvg7r5zw6dqa43zxw,150000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf24rmfselfht37nqpkk843rvg7r5zw6dqa43zxw
xcd,47729,2026-02-01 23:25:30 (UTC+0),19431879,19431879,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2pn20uw6f6meety5nrld79paqfvslj23qqxxhss,503057,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2pn20uw6f6meety5nrld79paqfvslj23qqxxhss
xcd,47729,2026-02-01 23:25:30 (UTC+0),19431879,19431879,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf4hhlja55665hxtdj8cmdxv864v300sas3jxup8,100000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf4hhlja55665hxtdj8cmdxv864v300sas3jxup8
xcd,47729,2026-02-01 23:25:30 (UTC+0),19431879,19431879,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfl20n0297flg8lddkqx8jpwz5emyqwvkgec9spm,200000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfl20n0297flg8lddkqx8jpwz5emyqwvkgec9spm
xcd,47729,2026-02-01 23:25:30 (UTC+0),19431879,19431879,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf0n4tky72nrm8aqdafh28vyj2t6wkvpwqzc0fv7,18340000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf0n4tky72nrm8aqdafh28vyj2t6wkvpwqzc0fv7
joshyates,51044,2026-02-01 18:36:46 (UTC+0),500000,500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq26k6c0as36j2fqacvzjrmdv30wcpz970snv6u2h,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq26k6c0as36j2fqacvzjrmdv30wcpz970snv6u2h
joshyates,51044,2026-02-01 18:36:46 (UTC+0),500000,500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd9n32yyujn470twgthr3rucrmy7xf4nxg57nqxs,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd9n32yyujn470twgthr3rucrmy7xf4nxg57nqxs
Michiel,33832,2026-01-30 14:46:07 (UTC+0),1290000,1290000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdzx545uffra6pzwn5schn5cfpns4nnfacvlc0kk,1290000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdzx545uffra6pzwn5schn5cfpns4nnfacvlc0kk
ChenYu,32368,2026-01-30 01:45:08 (UTC+0),100000,100000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwxxt8xn404yr3u6ss30wrya7f2u79amjgc7n43p,100000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwxxt8xn404yr3u6ss30wrya7f2u79amjgc7n43p
ChenYu,32368,2026-01-30 01:45:08 (UTC+0),100000,100000,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq2qm7malxgun2np8znq7r9vdmgaq2urfwq7jksrk,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq2qm7malxgun2np8znq7r9vdmgaq2urfwq7jksrk
