nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
DaMengzi,50124,2026-02-06 06:55:21 (UTC+0),1000000,1000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq054dxc0aaxvy5tq5t8g47vjjrur54kqtc42mw37,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq054dxc0aaxvy5tq5t8g47vjjrur54kqtc42mw37
DaMengzi,50124,2026-02-06 06:55:21 (UTC+0),1000000,1000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwga7c0hkqz000rwtd78zq9a60c83axccqjc6x4y,1000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwga7c0hkqz000rwtd78zq9a60c83axccqjc6x4y
