nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
Knight,33997,2026-03-21 00:46:53 (UTC+0),1310305,1310305,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdpz3j7t3u90szme07tkxdvld74kmfqglg0jtxew,461000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdpz3j7t3u90szme07tkxdvld74kmfqglg0jtxew
Knight,33997,2026-03-21 00:46:53 (UTC+0),1310305,1310305,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq03q7salkxr8q39emgmv3npa4kn240e8rctvru0h,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq03q7salkxr8q39emgmv3npa4kn240e8rctvru0h
CoingetterD,52126,2026-03-20 19:25:14 (UTC+0),1713658,1713658,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwv0wzx3teykg7x8jzw3dwtmdm2yfx38ss6mcrgh,1713658,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwv0wzx3teykg7x8jzw3dwtmdm2yfx38ss6mcrgh
okay,51080,2026-03-20 15:15:35 (UTC+0),5200102,5200102,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtjn2rja37u2zfhea5rnkqh9jkqj28l97cudreav,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtjn2rja37u2zfhea5rnkqh9jkqj28l97cudreav
okay,51080,2026-03-20 15:15:35 (UTC+0),5200102,5200102,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdw29xq4he089ve78p0u5c9q78pyslxm0gjaufhc,5200102,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdw29xq4he089ve78p0u5c9q78pyslxm0gjaufhc
JackyLHH,29893,2026-03-20 04:12:57 (UTC+0),61000,61000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0yxf7nj6d92wthv2ap6skglqcrmmem0ucelaa8a,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0yxf7nj6d92wthv2ap6skglqcrmmem0ucelaa8a
JackyLHH,29893,2026-03-20 04:12:57 (UTC+0),61000,61000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtyd0mhhftd9mssuvml6zn6qwh6cx2nmcgumh5pk,61000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtyd0mhhftd9mssuvml6zn6qwh6cx2nmcgumh5pk
JackyLHH,29893,2026-03-20 04:12:57 (UTC+0),61000,61000,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqw4sxylt6zc5mm8xx0r87s3ql4hueue38cq2yk2j,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqw4sxylt6zc5mm8xx0r87s3ql4hueue38cq2yk2j
22222bit,50066,2026-03-20 04:03:41 (UTC+0),22222,22222,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfmmaugarkeg9f2jwe69455024d90ytc0g2h7ngu,22222,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfmmaugarkeg9f2jwe69455024d90ytc0g2h7ngu
22222bit,50066,2026-03-20 04:03:41 (UTC+0),22222,22222,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqdnhv7a4lnu9csdkr5yvukqdp3ufysrzuqye97ds,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqdnhv7a4lnu9csdkr5yvukqdp3ufysrzuqye97ds
